,,Position (Deg.),,,Concentration (µg/m3),,,Wind,,Air Temperature (Deg. C.),,,Humidity (Percent),,,Barometer,Battery Voltage (volts),,,Air Flow (totalizer),,,Concentration by Hour,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Latitude,Longitude,Station Chart Link,Mean,Max,Min,Ave Vel. (m/s),V. Dir. (Deg),Mean,Max,Min,Mean,Max,Min,Baro. Pressure (mbars),Mean,Max,Min,Mean,Time of latest ob,Airfire QC Report Link,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
03/06/15,Smoke RMK 104 (Smoke #15),39.8858,-105.7634,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm15+06+03+15+M,0,0,0,2.4,220,-5.8,7.3,-14.6,55,74,27,731.1,14.4,14.4,14.3,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
03/06/15,Smoke RMK 105 (Smoke #17),39.9101,-105.7979,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm17+06+03+15+M,2,12,0,0.3,2,-6.0,12.9,-15.4,56,75,22,732.4,14.4,14.4,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm17,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,12.00,12.00,12.00
03/06/15,Smoke RMK 109 (Smoke #84),47.5421,-116.255,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids284+06+03+15+M,7,20,1,0.6,131,4.1,15.3,-1.9,64,89,28,940.5,14.4,14.4,14.2,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s284,1.00,1.00,2.00,4.00,4.00,4.00,5.00,4.00,4.00,5.00,11.00,12.00,9.00,13.00,12.00,8.00,20.00,16.00,12.00,4.00,4.00,2.00,2.00,1.00
03/06/15,Smoke RMK 115 (Smoke #20),47.1109,-116.3929,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm20+06+03+15+M,37,91,0,0.8,107,4.8,20.9,-5.2,65,95,21,-9999,14.4,14.4,14.2,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm20,1.00,3.00,9.00,18.00,45.00,73.00,91.00,58.00,87.00,59.00,59.00,64.00,54.00,58.00,59.00,81.00,33.00,14.00,7.00,3.00,3.00,0.00,0.00,0.00
03/06/15,Smoke RMK 116 (Smoke #21),39.9192,-105.7845,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm21+06+03+15+M,4,14,0,1.2,46,-2.3,10.9,-11.6,55,76,27,-9999,14.4,14.4,14.4,1.01,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm21,1.00,1.00,2.00,5.00,14.00,13.00,7.00,4.00,6.00,4.00,2.00,2.00,2.00,2.00,2.00,2.00,4.00,4.00,2.00,2.00,1.00,0.00,2.00,2.00
03/06/15,Smoke RMK 125 (Smoke #216),47.5502,-116.2945,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids216+06+03+15+M,10,20,0,0.9,137,8.9,23.5,0.6,60,85,26,946.9,14.3,14.4,14.1,0.98,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s216,0.00,2.00,4.00,8.00,14.00,12.00,12.00,15.00,17.00,17.00,15.00,18.00,14.00,18.00,17.00,18.00,20.00,10.00,6.00,4.00,3.00,2.00,1.00,1.00
03/06/15,Smoke RMK 126 (Smoke #217),47.5454,-116.1791,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids217+06+03+15+M,26,71,0,0.7,299,9.2,21.7,2.2,66,94,24,948.4,14.4,14.4,14.2,0.86,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s217,1.00,2.00,7.00,22.00,23.00,20.00,46.00,40.00,47.00,41.00,68.00,71.00,53.00,39.00,47.00,38.00,30.00,18.00,9.00,6.00,3.00,2.00,1.00,1.00
03/06/15,Smoke USFS R1-39,48.8978,-115.0584,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids139+06+03+15+M,8,52,0,1.2,151,4.2,17.6,-1.9,48,64,24,931.4,14.4,14.4,14.3,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s139,8.00,0.00,1.00,32.00,52.00,24.00,10.00,8.00,10.00,8.00,10.00,7.00,4.00,4.00,4.00,4.00,6.00,4.00,2.00,0.00,0.00,0.00,0.00,0.00
03/06/15,Smoke NPS Yosemite 01,37.34,-119.6667,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsmy1+06+03+15+M,8,34,-5,1.0,12,6.5,19.2,-4.9,67,95,27,-10.0,14.3,14.3,14.2,16.69,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=smy1,9.00,3.00,6.00,5.00,10.00,20.00,13.00,6.00,18.00,-5.00,34.00,-5.00,28.00,2.00,17.00,-5.00,13.00,-5.00,-1.00,11.00,7.00,5.00,8.00,4.00
