,,Position (Deg.),,,Concentration (µg/m3),,,Wind,,Air Temperature (Deg. C.),,,Humidity (Percent),,,Barometer,Battery Voltage (volts),,,Air Flow (totalizer),,,Concentration by Hour,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Latitude,Longitude,Station Chart Link,Mean,Max,Min,Ave Vel. (m/s),V. Dir. (Deg),Mean,Max,Min,Mean,Max,Min,Baro. Pressure (mbars),Mean,Max,Min,Mean,Time of latest ob,Airfire QC Report Link,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
08/25/18,Smoke RMK 104 (Smoke #15),40.0575,-106.3695,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm15+25+08+18+M,7,10,1,0.3,2,17.5,31.2,7.9,0,1,0,777.9,14.1,14.3,13.9,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm15,6.00,8.00,9.00,10.00,9.00,9.00,9.00,8.00,8.00,8.00,8.00,7.00,8.00,8.00,7.00,8.00,9.00,8.00,6.00,5.00,2.00,1.00,1.00,1.00
08/25/18,Smoke RMK 110 (Smoke #215),42.553,-124.0577,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids215+25+08+18+M,3,5,2,1.2,41,25.4,35.1,18.8,55,86,20,1006.0,14.2,14.3,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s215,7.00,5.00,4.00,2.00,4.00,4.00,3.00,3.00,3.00,3.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,4.00,4.00,2.00,2.00,2.00,3.00,4.00
08/25/18,Smoke RMK 114 (Smoke #19),38.188,-120.0075,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm19+25+08+18+M,30,55,8,0.9,352,16.8,34.4,4.4,41,65,9,-9999,14.2,14.4,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm19,38.00,43.00,47.00,49.00,54.00,55.00,52.00,48.00,37.00,30.00,24.00,18.00,11.00,10.00,8.00,8.00,9.00,18.00,21.00,20.00,16.00,31.00,38.00,40.00
08/25/18,Smoke RMK 115 (Smoke #20),42.8968,-122.1354,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm20+25+08+18+M,21,113,1,0.5,26,12.2,24.6,5.8,46,78,19,804.6,14.3,14.4,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm20,52.00,75.00,113.00,71.00,33.00,16.00,9.00,10.00,16.00,23.00,31.00,37.00,22.00,10.00,3.00,2.00,2.00,2.00,2.00,1.00,1.00,3.00,2.00,1.00
08/25/18,Smoke RMK 116 (Smoke #21),48.7105,-119.4341,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm21+25+08+18+M,119,131,107,1.0,-9999,23.4,24.9,21.8,41,46,36,-9999,14.1,14.2,14.1,2.00,20:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm21,125.00,131.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,107.00,-9999,-9999,-9999
08/25/18,Smoke RMK 119 (Smoke #24),42.5158,-123.4289,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm24+25+08+18+M,2,6,0,0.6,62,21.4,36.2,9.1,48,84,14,982.9,14.2,14.4,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm24,7.00,6.00,5.00,3.00,3.00,3.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,2.00,3.00,2.00,2.00,2.00,0.00,1.00
08/25/18,Smoke RMK 122 (Smoke #69),42.7638,-122.4896,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm69+25+08+18+M,43,164,19,0.8,331,18.0,30.1,8.5,67,99,20,923.8,14.2,14.4,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm69,65.00,48.00,39.00,43.00,38.00,38.00,39.00,42.00,45.00,43.00,38.00,33.00,28.00,23.00,23.00,23.00,21.00,19.00,24.00,54.00,81.00,164.00,68.00,33.00
08/25/18,Smoke RMK 125 (Smoke #216),47.6753,-120.2107,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids216+25+08+18+M,44,58,32,1.8,-9999,19.9,21.3,19.2,45,52,36,978.9,14.1,14.1,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s216,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,58.00,43.00
08/25/18,Smoke RMK 126 (Smoke #217),42.2783,-123.6461,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids217+25+08+18+M,5,8,2,1.3,295,17.1,31.6,5.0,55,93,15,967.3,14.2,14.4,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s217,8.00,6.00,5.00,4.00,5.00,4.00,5.00,5.00,6.00,5.00,5.00,4.00,4.00,4.00,5.00,5.00,5.00,5.00,6.00,7.00,8.00,7.00,6.00,3.00
08/25/18,Smoke USFS R1-52,48.741,-113.432,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids152+25+08+18+M,69,119,32,1.0,161,12.4,21.1,5.1,67,91,31,858.1,14.2,14.4,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s152,110.00,101.00,66.00,32.00,36.00,37.00,37.00,33.00,35.00,40.00,44.00,47.00,48.00,56.00,73.00,72.00,68.00,118.00,119.00,114.00,112.00,101.00,93.00,91.00
08/25/18,Smoke USFS R2-69,38.9793,-105.353,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids269+25+08+18+M,12,17,3,0.3,1,18.0,30.4,7.4,1,1,0,759.3,14.2,14.4,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s269,14.00,13.00,13.00,14.00,15.00,16.00,16.00,16.00,16.00,16.00,17.00,17.00,17.00,17.00,16.00,16.00,14.00,9.00,6.00,6.00,5.00,4.00,3.00,3.00
08/25/18,Smoke NPS Yosemite 01,37.6746,-119.7855,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsmy1+25+08+18+M,31,44,23,0.7,-9999,25.3,35.4,12.7,26,58,10,-9999,14.4,14.4,14.4,16.67,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=smy1,21.00,27.00,25.00,31.00,30.00,26.00,37.00,41.00,34.00,44.00,-9999,37.00,-9999,-9999,-9999,35.00,23.00,30.00,28.00,34.00,31.00,31.00,29.00,29.00
08/25/18,Smoke RMK 407 (EBAM #231),42.4022,-124.4211,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ide231+25+08+18+M,10,45,-5,2.7,36,11.8,16.5,7.3,59,78,39,-9999,13.7,13.8,13.6,16.70,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=e231,7.00,-5.00,-1.00,4.00,-5.00,23.00,1.00,7.00,8.00,7.00,22.00,9.00,45.00,25.00,-5.00,8.00,-2.00,1.00,3.00,23.00,21.00,13.00,5.00,16.00
08/25/18,Smoke RMK 412 (EBAM #840),47.6753,-120.2107,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ide840+25+08+18+M,64,64,64,1.0,-9999,176.0,276.1,36.3,54,78,26,-9999,14.4,14.4,14.3,0.94,19:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=e840,33.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,-9999,-9999,-9999,-9999
08/25/18,Smoke RMK 413 (EBAM #866),42.0548,-124.2768,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ide866+25+08+18+M,19,58,-5,0.9,97,14.0,20.3,9.8,77,95,51,-9999,13.8,13.9,13.7,16.70,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=e866,18.00,22.00,9.00,21.00,24.00,21.00,43.00,58.00,17.00,20.00,13.00,25.00,7.00,19.00,19.00,26.00,38.00,-5.00,-5.00,13.00,3.00,13.00,10.00,33.00
08/25/18,Smoke USFS R1-306,48.7827,-114.28,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?id1306+25+08+18+M,109,166,80,0.4,174,13.9,24.0,5.1,62,87,29,-9999,14.2,14.4,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=1306,122.00,114.00,119.00,118.00,113.00,105.00,81.00,87.00,80.00,85.00,82.00,88.00,87.00,85.00,86.00,101.00,103.00,108.00,140.00,166.00,143.00,135.00,137.00,130.00
08/25/18,Smoke USFS 3015,48.6493,-118.7293,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids315+25+08+18+M,140,154,127,1.0,118,13.8,22.1,6.1,56,83,27,921.7,14.4,14.4,14.3,1.97,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s315,182.00,135.00,154.00,149.00,151.00,150.00,148.00,151.00,147.00,147.00,138.00,136.00,134.00,134.00,137.00,135.00,137.00,132.00,133.00,138.00,142.00,141.00,138.00,127.00
